RunDate,Service Provider,ConsentID or Water Group,Activity Number,Meters,Type,Limit,Max Use,Percent Over Limit,Date of Highest Overage,Date of Earliest Non-compliance,Date of Latest Non-compliance
19-Jan-2019,Boraman,CRC941273.3,CRC941273.3-1,L36/0897-M1 + L36/0903-M1 + L36/0903-M2,Take Rate,91.0 l/s,91.1 l/s,0.10%,17/01/2019 15:45,17/01/2019 15:45,17/01/2019 15:45
19-Jan-2019,WaterCheck,CRC191711,CRC191711-1,BX23/0832-M1,Water Year Volume,75264.7 m3,101642.9 m3,35.00%,11/01/2019 17:30,11/01/2019 0:00,17/01/2019 12:30
19-Jan-2019,WaterCheck,CRC191612,CRC191612-1,L37/0614-M1,Take Rate,30.0 l/s,31.3 l/s,4.20%,10/01/2019 10:30,10/01/2019 10:00,11/01/2019 10:45
19-Jan-2019,ECS,CRC180546,CRC180546-1,J41/0247-M1,Take Rate,80.0 l/s,82277.9 l/s,102747.40%,18/01/2019 8:30,11/01/2019 10:15,18/01/2019 8:30
19-Jan-2019,Harvest,CRC173737,CRC173737-1,O33/0113-M1,Take Rate,23.0 l/s,23.3 l/s,1.40%,15/01/2019 21:00,13/01/2019 18:20,17/01/2019 14:40
19-Jan-2019,Harvest,CRC173737,CRC173737-1,O33/0113-M1,Water Year Volume,171900.0 m3,8798480.0 m3,5018.40%,18/01/2019 11:30,8/01/2019 0:00,18/01/2019 11:30
19-Jan-2019,Boraman,CRC173181,CRC173181-1,I39/0023-M1,Take Rate,15.0 l/s,166.4 l/s,1009.30%,16/01/2019 17:30,11/01/2019 0:00,18/01/2019 2:45
19-Jan-2019,Boraman,CRC173181,CRC173181-1,I39/0023-M1,7 day Volume,9100.0 m3,34614.0 m3,280.40%,18/01/2019 0:00,12/01/2019 0:00,18/01/2019 0:00
19-Jan-2019,Boraman,CRC171834,CRC171834-1,M36/0436-M1,Take Rate,5.0 l/s,21.5 l/s,330.60%,10/01/2019 2:15,10/01/2019 0:45,18/01/2019 0:00
19-Jan-2019,Boraman,CRC171834,CRC171834-1,M36/0436-M1,15 day Volume,5895.0 m3,7516.0 m3,27.50%,18/01/2019 0:00,17/01/2019 0:00,18/01/2019 0:00
19-Jan-2019,DataCol,CRC163182,CRC163182-1,K37/0895-M1,Take Rate,24.9 l/s,26.7 l/s,7.10%,15/01/2019 23:00,11/01/2019 0:00,17/01/2019 13:45
