ID,ConsentID or Water Group,IgnoreReasonID,Comment,CreatedBy,StartDate,EndDate
685,CRC042509,Under 5l/s,Bulk Import 25/01/703,CH\KatieSi,25/01/2019,30/06/2019
686,CRC042529.3,Regionally Significant,Bulk Import 25/01/704,CH\KatieSi,25/01/2019,30/06/2019
687,CRC042562.2,Associated Permits Assumed,Bulk Import 25/01/705,CH\KatieSi,25/01/2019,30/06/2019
688,CRC042573.2,Consents with Associated WAPS,Bulk Import 25/01/706,CH\KatieSi,25/01/2019,30/06/2019
689,CRC042689.2,Associated Permits Assumed,Bulk Import 25/01/707,CH\KatieSi,25/01/2019,30/06/2019
690,CRC042702.1,Regionally Significant,Bulk Import 25/01/708,CH\KatieSi,25/01/2019,30/06/2019
691,CRC042709.3,Associated Permits Confirmed,Bulk Import 25/01/709,CH\KatieSi,25/01/2019,30/06/2019
692,CRC042712.3,Complicated Allocation,Bulk Import 25/01/710,CH\KatieSi,25/01/2019,30/06/2019
693,CRC042726,Consents with Associated WAPS,Bulk Import 25/01/711,CH\KatieSi,25/01/2019,30/06/2019
694,CRC042738.3,Consents with Associated WAPS,Bulk Import 25/01/712,CH\KatieSi,25/01/2019,30/06/2019
695,CRC042741,Regionally Significant,Bulk Import 25/01/713,CH\KatieSi,25/01/2019,30/06/2019
696,CRC042756,Associated Permits Assumed,Bulk Import 25/01/714,CH\KatieSi,25/01/2019,30/06/2019
697,CRC042798,Consents with Associated WAPS,Bulk Import 25/01/715,CH\KatieSi,25/01/2019,30/06/2019
698,CRC042801.1,Under 5l/s,Bulk Import 25/01/716,CH\KatieSi,25/01/2019,30/06/2019
699,CRC042803,Complicated Allocation,Bulk Import 25/01/717,CH\KatieSi,25/01/2019,30/06/2019
700,CRC042826,Consents with Associated WAPS,Bulk Import 25/01/718,CH\KatieSi,25/01/2019,30/06/2019
701,CRC042874.3,Associated Permits Confirmed,Bulk Import 25/01/719,CH\KatieSi,25/01/2019,30/06/2019
702,CRC042918.1,Consents with Associated WAPS,Bulk Import 25/01/720,CH\KatieSi,25/01/2019,30/06/2019
703,CRC050052.1,Consents with Associated WAPS,Bulk Import 25/01/721,CH\KatieSi,25/01/2019,30/06/2019
704,CRC050111,Complicated Allocation,Bulk Import 25/01/722,CH\KatieSi,25/01/2019,30/06/2019
705,CRC050129,Associated Permits Assumed,Bulk Import 25/01/723,CH\KatieSi,25/01/2019,30/06/2019
706,CRC050134.1,Under 5l/s,Bulk Import 25/01/724,CH\KatieSi,25/01/2019,30/06/2019
707,CRC050168.1,Consents with Associated WAPS,Bulk Import 25/01/725,CH\KatieSi,25/01/2019,30/06/2019
708,CRC050174.3,Complicated Allocation,Bulk Import 25/01/726,CH\KatieSi,25/01/2019,30/06/2019
709,CRC050183.1,Consents with Associated WAPS,Bulk Import 25/01/727,CH\KatieSi,25/01/2019,30/06/2019
710,CRC050196,Complicated Allocation,Bulk Import 25/01/728,CH\KatieSi,25/01/2019,30/06/2019
711,CRC050198.2,Associated Permits Confirmed,Bulk Import 25/01/729,CH\KatieSi,25/01/2019,30/06/2019
712,CRC050225.1,Regionally Significant,Bulk Import 25/01/730,CH\KatieSi,25/01/2019,30/06/2019
713,CRC050248,Under 5l/s,Bulk Import 25/01/731,CH\KatieSi,25/01/2019,30/06/2019
714,CRC050260,Under 5l/s,Bulk Import 25/01/732,CH\KatieSi,25/01/2019,30/06/2019
715,CRC050289.3,Associated Permits Confirmed,Bulk Import 25/01/733,CH\KatieSi,25/01/2019,30/06/2019
716,CRC050293,Consents with Associated WAPS,Bulk Import 25/01/734,CH\KatieSi,25/01/2019,30/06/2019
717,CRC050331.1,Consents with Associated WAPS,Bulk Import 25/01/735,CH\KatieSi,25/01/2019,30/06/2019
718,CRC050390,Associated Permits Confirmed,Bulk Import 25/01/736,CH\KatieSi,25/01/2019,30/06/2019
719,CRC050407,Under 5l/s,Bulk Import 25/01/737,CH\KatieSi,25/01/2019,30/06/2019
720,CRC050463,Complicated Allocation,Bulk Import 25/01/738,CH\KatieSi,25/01/2019,30/06/2019
721,CRC050473.1,Complicated Allocation,Bulk Import 25/01/739,CH\KatieSi,25/01/2019,30/06/2019
722,CRC050474,Under 5l/s,Bulk Import 25/01/740,CH\KatieSi,25/01/2019,30/06/2019
723,CRC050484.1,Consents with Associated WAPS,Bulk Import 25/01/741,CH\KatieSi,25/01/2019,30/06/2019
724,CRC050573.2,Associated Permits Assumed,Bulk Import 25/01/742,CH\KatieSi,25/01/2019,30/06/2019
725,CRC050620.2,Associated Permits Assumed,Bulk Import 25/01/743,CH\KatieSi,25/01/2019,30/06/2019
726,CRC050658,Associated Permits Assumed,Bulk Import 25/01/744,CH\KatieSi,25/01/2019,30/06/2019
727,CRC050721.2,Under 5l/s,Bulk Import 25/01/745,CH\KatieSi,25/01/2019,30/06/2019
728,CRC050816.1,Consents with Associated WAPS,Bulk Import 25/01/746,CH\KatieSi,25/01/2019,30/06/2019
729,CRC050817.1,Associated Permits Assumed,Bulk Import 25/01/747,CH\KatieSi,25/01/2019,30/06/2019
730,CRC050870.1,Associated Permits Confirmed,Bulk Import 25/01/748,CH\KatieSi,25/01/2019,30/06/2019
731,CRC050872,Associated Permits Assumed,Bulk Import 25/01/749,CH\KatieSi,25/01/2019,30/06/2019
732,CRC050911,Complicated Allocation,Bulk Import 25/01/750,CH\KatieSi,25/01/2019,30/06/2019
